iter	RMSE
0	1.129246438
1	1.129006935
2	1.128773424
3	1.128614503
4	1.128351969
5	1.128144118
6	1.127946186
7	1.127717224
8	1.127504841
9	1.127261392
10	1.127053294
11	1.126809801
12	1.126595486
13	1.126376271
14	1.126139488
15	1.125904207
16	1.125701143
17	1.125463972
18	1.125242033
19	1.125010403
20	1.124788713
21	1.124550182
22	1.124345839
23	1.124143647
24	1.12390437
25	1.123670894
26	1.123471916
27	1.123274806
28	1.123060329
29	1.122879944
30	1.122651014
31	1.122395206
32	1.122233694
33	1.122029526
34	1.121806807
35	1.121551582
36	1.121362326
37	1.121142966
38	1.120948735
39	1.120758628
40	1.120545641
41	1.120329027
42	1.120136871
43	1.119924041
44	1.119692008
45	1.119497705
46	1.119268081
47	1.119041955
48	1.118834677
49	1.118606966
50	1.118370731
51	1.118168307
52	1.118001978
53	1.117816099
54	1.11762434
55	1.117421015
56	1.117213664
57	1.117038684
58	1.116795621
59	1.116556732
60	1.116405853
61	1.116231011
62	1.115985871
63	1.115797005
64	1.115648908
65	1.11547016
66	1.115247252
67	1.115027738
68	1.11483148
69	1.114635441
70	1.114414338
71	1.114231451
72	1.114022785
73	1.113799766
74	1.113599235
75	1.113405353
76	1.113188497
77	1.112970979
78	1.112781305
79	1.112557649
80	1.112386615
81	1.11218196
82	1.111917155
83	1.111702952
84	1.111505605
85	1.111301319
86	1.111089837
87	1.110895953
88	1.110676362
89	1.110448298
90	1.110240788
91	1.110039114
92	1.10982787
93	1.109616769
94	1.109408323
95	1.109206307
96	1.108982311
97	1.108780698
98	1.108576479
99	1.108352525
100	1.108190834
101	1.107966246
102	1.107751945
103	1.107557307
104	1.107356203
105	1.107152236
106	1.107009577
107	1.10681917
108	1.106625249
109	1.106487267
110	1.106288103
111	1.106089175
112	1.105875552
113	1.105694427
114	1.105537646
115	1.105359992
116	1.105198286
117	1.105016886
118	1.104841362
119	1.104623768
120	1.104415438
121	1.104199673
122	1.10402225
123	1.103836252
124	1.103636614
125	1.103441926
126	1.103261255
127	1.103043667
128	1.102865605
129	1.102710354
130	1.102550737
131	1.102415783
132	1.102261759
133	1.102109981
134	1.101878135
135	1.101714438
136	1.101521225
137	1.101359533
138	1.101178886
139	1.101008345
140	1.10083121
141	1.10066553
142	1.100462958
143	1.100313789
144	1.100113765
145	1.099930305
146	1.099726397
147	1.099541332
148	1.099359676
149	1.09916928
150	1.098993797
151	1.098839849
152	1.098639833
153	1.098465107
154	1.098253513
155	1.098038343
156	1.097853114
157	1.097643931
158	1.097448252
159	1.097320613
160	1.097105744
161	1.096903448
162	1.096708352
163	1.096531456
164	1.096340478
165	1.096186222
166	1.096024318
167	1.095847539
168	1.095668512
169	1.095499529
170	1.095333554
171	1.095193042
172	1.094981033
173	1.094768748
174	1.094582356
