OBJECTID_x,ID,pH,As,Cd,Ni,Pb,Zn,Hg,slope,altitude,profile_curve,profile_c_num,profile_c_abs,planform_curve,planform_c_num,planform_c_abs,HYDGRP,HYDGRP_A,HYDGRP_B,HYDGRP_C,HYDGRP_D,ANION_EXCL,SOL_CRK,SOL_K1,CLAY1,SILT1,SAND1,ROCK1,SOL_EC1,distance
1,KW-SK-S-36,7.63,17.46,0.48,1.65,91.1,,0,36.89619827,582.572998,-0.692999005,0.692999005,0,-1.524299979,1.524299979,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,26.7431541
2,KW-SK-S-37,5.25,1.25,0.05,0.34,58.77,,0,28.0258007,466.6929932,-1.273249984,1.273249984,0,-0.247492,0.247492,0,A,1,0,0,0,0.5,0.5,15.93,15,48,37,28,0,26.11008346
3,KW-SK-S-66,7.72,1.39,0.07,0.59,92.43,,0,32.65919876,679.6209717,-2.430609941,2.430609941,0,-1.368109941,1.368109941,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,27.53952165
4,KW-SK-CS-03,8.41,6.07,0.105,1.14,2.75,,0,27.92749977,641.1749878,0.160844997,0.160844997,1,0.215775996,0.215775996,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,32.44837125
5,KW-YH-PS-01,8.3,32.7,3.7,1.1,4700,,0,36.87269974,379.4519958,-0.472368985,0.472368985,0,1.532760024,1.532760024,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.887498149
6,KW-YH-PS-02,8.4,12.5,2.3,2,956,,0,43.76350021,378.8850098,-1.358700037,1.358700037,0,1.36432004,1.36432004,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,8.612130977
7,KW-YH-PS-03,7.6,4.7,1.2,6.7,260,,0,38.02370071,304.822998,-1.466279984,1.466279984,0,4.209259987,4.209259987,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,9.726345612
8,KW-YH-S-01,8.14,2.47,1.06,5.86,507.33,,0,22.14660072,584.1069946,-0.155983001,0.155983001,0,5.039330006,5.039330006,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,6.83188978
9,KW-YH-S-02,8.04,1.62,7.125,53.72,3757.93,,0,29.69869995,423.1730042,3.721359968,3.721359968,1,-2.825150013,2.825150013,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.205492533
10,KW-YH-S-03,7.94,1.38,2.55,2.85,5615.93,,0,39.28730011,441.4020081,0.120912999,0.120912999,1,0.00396975,0.00396975,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.246519966
11,KW-YH-S-04,7.55,1.58,21.005,29.5,13639.12,,0,35.66949844,432.7609863,-1.360780001,1.360780001,0,0.585264981,0.585264981,1,A,1,0,0,0,0.5,0.5,37.65,27.2,42.2,30.6,0,0,7.073085552
12,KW-YH-S-05,7.38,4.42,41.785,44.87,21585.88,,0,41.19520187,677.9689941,-0.154017001,0.154017001,0,0.265904993,0.265904993,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,6.443851526
13,KW-YH-S-06,3.99,3.47,4.865,34.18,1346.97,,0,39.70859909,790.7940063,-0.070248298,0.070248298,0,0.27472201,0.27472201,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,6.281499904
14,KW-YH-S-07,5.36,1.24,0.625,17.26,946,,0,39.70859909,790.7940063,-0.070248298,0.070248298,0,0.27472201,0.27472201,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,6.281499904
15,KW-YH-S-08,7.69,1.35,8.12,17.13,3925.86,,0,43.86460114,757.6370239,0.312067002,0.312067002,1,0.38042599,0.38042599,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,6.417788228
16,KW-YH-S-09,7.34,0.74,27.865,46.18,11591.26,,0,41.43870163,706.7860107,0.262201995,0.262201995,1,0.856684983,0.856684983,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,6.614972792
17,KW-YH-S-10,6.06,0.32,0.72,48.28,559.57,,0,13.31610012,686.6560059,-0.256848007,0.256848007,0,3.146719933,3.146719933,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,6.753980601
18,KW-YH-S-11,6.04,8.9,4.595,27.04,1165.6,,0,36.98529816,595.4890137,-1.772930026,1.772930026,0,4.344739914,4.344739914,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.036479567
19,KW-YH-S-12,7.55,75.13,5.26,24.06,1935.5,,0,36.98529816,595.4890137,-1.772930026,1.772930026,0,4.344739914,4.344739914,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.036479567
20,KW-YH-S-13,8.27,8.99,3.02,18.66,2683.5,,0,42.61669922,376.1300049,-0.785187006,0.785187006,0,-0.484039992,0.484039992,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.386805332
21,KW-YH-S-14,7.28,1.65,1.24,4.81,1756.06,,0,38.76929855,246.5429993,0.604990005,0.604990005,1,-0.232717007,0.232717007,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,9.194627644
22,KW-YH-S-15,7.37,6.1,0.87,5.01,714.77,,0,38.76929855,246.5429993,0.604990005,0.604990005,1,-0.232717007,0.232717007,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,9.194627644
23,KW-YH-S-16,4.5,10.69,0.215,9.71,337.5,,0,50.09000015,307.6419983,-0.284633011,0.284633011,0,-1.456750035,1.456750035,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,9.004985365
24,KW-YH-S-17,5.45,10.56,11.01,82.4,1737.73,,0,51.87939835,290.3819885,10.36730003,10.36730003,1,-0.336903006,0.336903006,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.51008972
25,KW-YH-S-18,8.05,16.47,6.735,17.49,8114.03,,0,46.05179977,322.822998,-1.787739992,1.787739992,0,-0.802881002,0.802881002,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.492793205
26,KW-YH-S-19,7.97,5.37,2.685,20.3,2632.8,,0,45.27130127,342.3640137,-1.000040054,1.000040054,0,1.347380042,1.347380042,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.446770146
27,KW-YH-S-20,6.12,2.47,1.59,11.02,498.3,,0,47.01919937,393.8049927,-0.065046698,0.065046698,0,-0.179914996,0.179914996,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.548152574
28,KW-YH-S-21,6.32,2.23,1.585,11.35,421.73,,0,47.01919937,393.8049927,-0.065046698,0.065046698,0,-0.179914996,0.179914996,0,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.548152574
29,KW-YH-S-22,8.2,4.04,2.205,30.18,1021.73,,0,43.38489914,449.1740112,-1.387240052,1.387240052,0,1.868000031,1.868000031,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.553298424
30,KW-YH-S-23,7.44,1.92,2.055,27.72,941.73,,0,30.93470001,428.5050049,-0.055946998,0.055946998,0,3.487750053,3.487750053,1,A,1,0,0,0,0.5,0.5,25.77,10,30,60,11,0,7.706709671
31,KW-YH-S-24,7.78,0.35,0.02,6.4,87.9,,0,32.95909882,380.2619934,-0.470670998,0.470670998,0,0.337190002,0.337190002,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,8.100812509
32,KW-YH-S-25,8.2,2.83,0.605,25.08,406.87,,0,35.56330109,376.2049866,-1.02365005,1.02365005,0,0.628208995,0.628208995,1,A,1,0,0,0,0.5,0.5,37.65,27.2,42.2,30.6,0,0,8.436677522
33,KW-YH-S-26,8.22,1.47,0.145,14.13,230.93,,0,42.94889832,392.3330078,-0.0153518,0.0153518,0,-0.54281801,0.54281801,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,8.567760333
34,KW-YH-S-27,6.87,1.23,0.18,5.02,157.84,,0,44.98740005,337.0830078,0.719434023,0.719434023,1,-6.284470081,6.284470081,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,9.064637011
35,KW-YH-S-28,7.05,1.55,0.17,5.04,125.54,,0,44.98740005,337.0830078,0.719434023,0.719434023,1,-6.284470081,6.284470081,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,9.064637011
36,KW-YH-S-29,8.05,1.03,0.825,14.1,1030.3,,0,19.87829971,238.8220062,2.554529905,2.554529905,1,-1.894569993,1.894569993,0,A,1,0,0,0,0.5,0.5,37.65,27.2,42.2,30.6,0,0,9.22279186
37,KW-YH-S-30,8,2.76,0.93,13.21,1109.56,,0,19.87829971,238.8220062,2.554529905,2.554529905,1,-1.894569993,1.894569993,0,A,1,0,0,0,0.5,0.5,37.65,27.2,42.2,30.6,0,0,9.22279186
38,KW-YH-S-31,7.44,4.08,3.065,31.12,1052.95,,0,35.09680176,285.2139893,-0.659412026,0.659412026,0,-0.00535909,0.00535909,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,9.536448801
39,KW-YH-S-32,6.98,0.29,1.285,20.18,333.33,,0,28.4008007,341.9400024,-1.491240025,1.491240025,0,0.609471977,0.609471977,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,9.658647257
40,KW-YH-S-33,6.28,1.46,0.245,9.69,107.23,,0,11.19519997,219.0529938,1.803239942,1.803239942,1,-7.214029789,7.214029789,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,9.834779903
41,KW-YH-S-34,6.83,1.48,0.03,5.17,109.89,,0,27.41469955,270.9769897,0.602154016,0.602154016,1,-2.438129902,2.438129902,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,10.01725024
42,KW-YH-S-35,6.29,1.58,0.41,13,162.84,,0,9.586119652,340.4219971,-0.425422013,0.425422013,0,0.253289014,0.253289014,1,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,10.41134944
43,KW-YH-S-38,5.72,1.49,0.12,2.85,76.55,,0,33.2276001,308.2829895,0.461055011,0.461055011,1,2.250849962,2.250849962,1,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,9.130113069
