OBJECTID_x,ID,pH,As,Cd,Ni,Pb,Zn,Hg,slope,altitude,profile_curve,profile_c_num,profile_c_abs,planform_curve,planform_c_num,planform_c_abs,HYDGRP,HYDGRP_A,HYDGRP_B,HYDGRP_C,HYDGRP_D,ANION_EXCL,SOL_CRK,SOL_K1,CLAY1,SILT1,SAND1,ROCK1,SOL_EC1,distance
1,GG-NY-S-35,6.01,0.36,0.185,23.77,8.73,,0,1.238809943,8.692890167,-0.257506996,0.257506996,0,0.0140614,0.0140614,1,D,0,0,0,1,0.5,0.5,31.52,19.7,60.9,19.4,0,0,30.71937853
2,GG-NY-S-36,7.88,0.25,0.265,21.63,7.24,,0,0.044906799,5.028079987,0.022520101,0.022520101,1,-0.00204468,0.00204468,0,D,0,0,0,1,0.5,0.5,49.49,15.7,49.2,35.1,0,0,30.11746279
3,GG-NY-S-37,7.17,0.55,0.205,27.17,6.57,,0,7.30573988,23.04170036,-0.466672987,0.466672987,0,0.071046598,0.071046598,1,A,1,0,0,0,0.5,0.5,13.68,15,35,50,11,0,29.89282072
4,GG-NY-PS-01,6.9,0.88,0.1,103,4.7,,0,11.71790028,66.0821991,0.064520098,0.064520098,1,-1.041100025,1.041100025,0,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,32.77252781
5,GG-NY-PS-02,6.7,0.88,0.1,75.3,4.7,,0,4.844230175,33.25749969,0.135381997,0.135381997,1,-0.278863013,0.278863013,0,C,0,0,1,0,0.5,0.5,35.58,16.5,44.6,38.9,0,0,32.44561696
6,GG-NY-PS-03,6.3,0.88,0.1,79,6.3,,0,3.785020113,28.26539993,0.076520197,0.076520197,1,-0.302522987,0.302522987,0,A,1,0,0,0,0.5,0.5,13.68,15,35,50,11,0,32.35442409
7,GG-NY-S-01,8.48,2.26,0.1,247.17,1.64,,0,15.95569992,88.71779633,-0.301389009,0.301389009,0,-0.323971987,0.323971987,0,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,33.08713451
8,GG-NY-S-02,8.14,0.24,0.125,13.07,3.49,,0,32.24840164,84.82219696,-0.164564997,0.164564997,0,0.275285006,0.275285006,1,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,33.0054952
9,GG-NY-S-03,8.17,0.28,0.12,67.2,1.58,,0,14.67650032,90.04429626,0.554351985,0.554351985,1,-0.106078997,0.106078997,0,A,1,0,0,0,0.5,0.5,13.68,15,35,50,11,0,33.15331929
10,GG-NY-S-04,8.82,0.23,0.11,65.2,3.67,,0,17.51849937,99.75559998,-0.258056015,0.258056015,0,-0.521178007,0.521178007,0,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,33.12500343
11,GG-NY-S-05,7.72,1.46,0.1,29.47,1.83,,0,19.3071003,109.2870026,-0.689310014,0.689310014,0,0.569845021,0.569845021,1,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,33.10269395
12,GG-NY-S-06,6.54,0.24,0.155,6,2.12,,0,18.60409927,115.4520035,-2.391700029,2.391700029,0,0.272083998,0.272083998,1,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,33.05873207
13,GG-NY-S-07,6.38,0.37,0.17,5.73,1.25,,0,15.35099983,97.9957962,-0.878021002,0.878021002,0,1.283419967,1.283419967,1,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,33.16853547
14,GG-NY-S-08,7.82,0.23,0.12,33.1,2.77,,0,15.35099983,97.9957962,-0.878021002,0.878021002,0,1.283419967,1.283419967,1,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,33.16853547
15,GG-NY-S-09,8.2,1.67,0.13,32.87,3.08,,0,23.03359985,98.64219666,0.833598971,0.833598971,1,-2.432240009,2.432240009,0,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,33.01630277
16,GG-NY-S-10,8.37,0.23,0.2,41.73,5.34,,0,8.481080055,113.9260025,-0.958117008,0.958117008,0,1.806100011,1.806100011,1,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,32.95240697
17,GG-NY-S-11,7.65,1.54,0.185,32.87,4.15,,0,24.56360054,100.4169998,-0.867601991,0.867601991,0,1.041149974,1.041149974,1,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,32.86286004
