,Ni_value,Ni_real_value,Lon,Lan
0,0.572567522,0.6,128.0932222,37.2805
1,1.404268348,0.6,128.0891389,37.27913889
2,0.063870068,0.5,128.0829444,37.27169444
3,6.915840373,3.17,128.1160556,37.28077778
4,1.405199249,1.38,128.1156111,37.28080556
5,1.243875454,0.47,128.0982778,37.28083333
6,2.324232058,0.35,128.0976944,37.28108333
7,1.326753343,0.47,128.0976944,37.28108333
8,0.522780114,0,128.0961944,37.28141667
9,1.332750134,0.86,128.0958056,37.28194444
10,1.178915908,0.76,128.0958056,37.28194444
11,3.448723532,0.89,128.0953056,37.28197222
12,0.226769882,0.26,128.0951111,37.28155556
13,1.7335892,0,128.0946667,37.28172222
14,0.873155212,0.38,128.0949722,37.28205556
15,0.982372822,0.28,128.0943611,37.28186111
16,3.028448431,0.75,128.0939444,37.28194444
17,2.694311767,0.83,128.0936111,37.28202778
18,2.702667103,0.73,128.0936111,37.28202778
19,1.912065163,1.48,128.0933056,37.28222222
20,3.922234992,1.73,128.0929444,37.28225
21,1.432873848,0.5,128.0931944,37.28058333
22,0.917445376,0,128.0920556,37.28025
23,0.917445376,0,128.0920556,37.28025
24,1.985856375,2.37,128.0909444,37.28027778
25,2.345474822,1.91,128.0909444,37.28027778
26,0.255432289,0,128.0901111,37.28002778
27,2.094393952,0.33,128.0892222,37.27961111
28,2.345474822,1.57,128.0880833,37.27836111
29,0.255432289,0,128.0876667,37.27658333
30,9.038965,11.18,128.0858611,37.27541667
31,7.03594781,3.2,128.0836389,37.27261111
32,1.961492483,0,128.0832222,37.27027778
33,2.888170915,0,128.0863056,37.26052778
34,13.24728092,18.7,128.0848056,37.25452778
35,1.77959641,0.55,128.0855278,37.24858333
36,7.847922088,0,128.0923333,37.27355556
37,7.847922088,0.76,128.0923333,37.27355556
38,4.596652236,0.55,128.0886389,37.25413889
